AÑO,DEPARTAMENTO,FECHA_ACC,DIA_SEMANA_ACC,CONDIC_METEOR,ESTADO_SUPER,TERRENO,GEOMETRIA_ACC,N_HERIDOS,N_MUERTOS,N_VICTIMAS,CLASE_ACCIDENTE,CAUSA_POSIBLE
2022,Cundinamarca,2022-11-08,Viernes,Soleado,Seca,Plano,Curva,0,0,0,Colisión,Inexperiencia
2022,Santander,2022-02-24,Jueves,Lluvia,Húmeda,Plano,Recta,2,0,2,Colisión,No mantener distancia
2022,Córdoba,2022-11-10,Jueves,Nublado,Húmeda,Plano,Curva,1,1,2,Colisión,Inexperiencia
2022,Santander,2022-03-07,Viernes,Soleado,Seca,Plano,Recta,1,0,1,Volcamiento,No mantener distancia
2022,Boyacá,2022-04-28,Domingo,Nublado,Húmeda,Montañoso,Recta,0,1,1,Volcamiento,Exceso de velocidad
2022,Boyacá,2022-04-22,Viernes,Nublado,Húmeda,Plano,Recta,2,1,3,Volcamiento,Inexperiencia
2022,Cundinamarca,2022-09-08,Viernes,Soleado,Húmeda,Montañoso,Curva,2,0,2,Colisión,Inexperiencia
2022,Santander,2022-01-25,Domingo,Soleado,Húmeda,Montañoso,Recta,0,0,0,Atropello,No mantener distancia
2022,Córdoba,2022-03-01,Miércoles,Soleado,Húmeda,Montañoso,Recta,0,0,0,Volcamiento,No mantener distancia
2022,Santander,2022-03-12,Sábado,Nublado,Seca,Montañoso,Curva,0,0,0,Colisión,No mantener distancia
2022,Boyacá,2022-07-14,Domingo,Nublado,Seca,Montañoso,Curva,0,0,0,Atropello,Inexperiencia
2022,Antioquia,2022-04-04,Sábado,Soleado,Seca,Montañoso,Curva,0,0,0,Colisión,Inexperiencia
2022,Córdoba,2022-03-22,Jueves,Lluvia,Húmeda,Montañoso,Recta,2,0,2,Volcamiento,Exceso de velocidad
2022,Córdoba,2022-10-23,Jueves,Soleado,Seca,Plano,Curva,0,0,0,Colisión,No mantener distancia
2022,Antioquia,2022-03-07,Sábado,Nublado,Seca,Plano,Curva,1,0,1,Atropello,Exceso de velocidad
2022,Antioquia,2022-04-17,Sábado,Soleado,Húmeda,Plano,Recta,0,0,0,Colisión,No mantener distancia
2022,Antioquia,2022-08-17,Miércoles,Soleado,Húmeda,Plano,Recta,0,0,0,Colisión,No mantener distancia
2022,Córdoba,2022-02-21,Jueves,Lluvia,Húmeda,Plano,Recta,1,0,1,Colisión,Inexperiencia
2022,Santander,2022-04-02,Sábado,Lluvia,Seca,Montañoso,Recta,1,0,1,Colisión,Inexperiencia
2022,Cundinamarca,2022-12-27,Jueves,Nublado,Húmeda,Montañoso,Curva,0,0,0,Colisión,No mantener distancia
2022,Boyacá,2022-08-01,Miércoles,Soleado,Seca,Plano,Curva,0,0,0,Atropello,Exceso de velocidad
2022,Antioquia,2022-04-28,Lunes,Lluvia,Seca,Plano,Recta,2,0,2,Atropello,Inexperiencia
2022,Córdoba,2022-04-24,Sábado,Soleado,Húmeda,Plano,Curva,2,0,2,Volcamiento,No mantener distancia
2022,Córdoba,2022-09-18,Sábado,Lluvia,Húmeda,Plano,Curva,1,0,1,Colisión,Exceso de velocidad
2022,Santander,2022-04-24,Domingo,Nublado,Seca,Plano,Curva,0,0,0,Volcamiento,Inexperiencia
2022,Santander,2022-03-22,Miércoles,Nublado,Húmeda,Montañoso,Recta,1,0,1,Colisión,Inexperiencia
2022,Cundinamarca,2022-03-17,Lunes,Lluvia,Seca,Plano,Curva,3,0,3,Atropello,Inexperiencia
2022,Cundinamarca,2022-01-20,Domingo,Soleado,Seca,Plano,Curva,0,0,0,Volcamiento,No mantener distancia
2022,Boyacá,2022-06-26,Miércoles,Lluvia,Húmeda,Plano,Recta,1,0,1,Volcamiento,Exceso de velocidad
2022,Boyacá,2022-01-08,Lunes,Soleado,Seca,Plano,Recta,1,0,1,Volcamiento,No mantener distancia
2022,Santander,2022-12-26,Domingo,Soleado,Húmeda,Montañoso,Recta,1,0,1,Atropello,Inexperiencia
2022,Cundinamarca,2022-02-02,Domingo,Nublado,Húmeda,Montañoso,Curva,0,1,1,Volcamiento,Exceso de velocidad
2022,Boyacá,2022-06-17,Jueves,Lluvia,Húmeda,Montañoso,Recta,0,0,0,Colisión,No mantener distancia
2022,Cundinamarca,2022-06-13,Jueves,Lluvia,Seca,Montañoso,Curva,0,0,0,Volcamiento,Exceso de velocidad
2022,Córdoba,2022-01-24,Domingo,Nublado,Húmeda,Plano,Curva,0,0,0,Volcamiento,Inexperiencia
2022,Antioquia,2022-12-21,Lunes,Lluvia,Húmeda,Montañoso,Curva,0,0,0,Colisión,No mantener distancia
2022,Santander,2022-01-16,Viernes,Nublado,Húmeda,Montañoso,Curva,1,0,1,Atropello,No mantener distancia
2022,Antioquia,2022-12-05,Domingo,Soleado,Húmeda,Plano,Recta,1,0,1,Colisión,Inexperiencia
2022,Cundinamarca,2022-01-05,Domingo,Lluvia,Húmeda,Plano,Curva,1,0,1,Atropello,Exceso de velocidad
2022,Antioquia,2022-08-05,Viernes,Nublado,Húmeda,Montañoso,Recta,2,0,2,Colisión,No mantener distancia
2022,Santander,2022-03-11,Viernes,Nublado,Seca,Montañoso,Recta,1,0,1,Atropello,Exceso de velocidad
